cod_provincia;desc_provincia;ine_auto_name;holiday_date;holiday_type;holiday_desc
51;Ceuta;Ceuta, Ciudad Autónoma de;2022-09-02;Autonómico;Día de Ceuta
10;Cáceres;Extremadura;2022-09-08;Autonómico;Día de Extremadura
33;Asturias;Asturias, Principado de;2022-09-08;Autonómico;Día de Asturias
06;Badajoz;Extremadura;2022-09-08;Autonómico;Día de Extremadura
43;Tarragona;Cataluña;2022-09-11;Autonómico;Fiesta Nacional de Cataluña
08;Barcelona;Cataluña;2022-09-11;Autonómico;Fiesta Nacional de Cataluña
25;Lleida;Cataluña;2022-09-11;Autonómico;Fiesta Nacional de Cataluña
17;Girona;Cataluña;2022-09-11;Autonómico;Fiesta Nacional de Cataluña
39;Cantabria;Cantabria;2022-09-15;Autonómico;La Bien Aparecida
01;Araba/Álava;País Vasco;2022-10-12;Nacional;Fiesta Nacional de España
06;Badajoz;Extremadura;2022-10-12;Nacional;Fiesta Nacional de España
45;Toledo;Castilla-La Mancha;2022-10-12;Nacional;Fiesta Nacional de España
25;Lleida;Cataluña;2022-10-12;Nacional;Fiesta Nacional de España
35;Palmas, Las;Canarias;2022-10-12;Nacional;Fiesta Nacional de España
05;Ávila;Castilla Y León;2022-10-12;Nacional;Fiesta Nacional de España
33;Asturias;Asturias, Principado de;2022-10-12;Nacional;Fiesta Nacional de España
50;Zaragoza;Aragón;2022-10-12;Nacional;Fiesta Nacional de España
48;Bizkaia;País Vasco;2022-10-12;Nacional;Fiesta Nacional de España
30;Murcia;Murcia, Región de;2022-10-12;Nacional;Fiesta Nacional de España
13;Ciudad Real;Castilla-La Mancha;2022-10-12;Nacional;Fiesta Nacional de España
17;Girona;Cataluña;2022-10-12;Nacional;Fiesta Nacional de España
14;Córdoba;Andalucía;2022-10-12;Nacional;Fiesta Nacional de España
07;Balears, Illes;Balears, Illes;2022-10-12;Nacional;Fiesta Nacional de España
12;Castellón/Castelló;Comunidad Valenciana;2022-10-12;Nacional;Fiesta Nacional de España
20;Gipuzkoa;País Vasco;2022-10-12;Nacional;Fiesta Nacional de España
32;Ourense;Galicia;2022-10-12;Nacional;Fiesta Nacional de España
42;Soria;Castilla Y León;2022-10-12;Nacional;Fiesta Nacional de España
24;León;Castilla Y León;2022-10-12;Nacional;Fiesta Nacional de España
36;Pontevedra;Galicia;2022-10-12;Nacional;Fiesta Nacional de España
15;Coruña, A;Galicia;2022-10-12;Nacional;Fiesta Nacional de España
31;Navarra;Navarra, Comunidad Foral de;2022-10-12;Nacional;Fiesta Nacional de España
04;Almería;Andalucía;2022-10-12;Nacional;Fiesta Nacional de España
26;Rioja, La;Rioja, La;2022-10-12;Nacional;Fiesta Nacional de España
44;Teruel;Aragón;2022-10-12;Nacional;Fiesta Nacional de España
08;Barcelona;Cataluña;2022-10-12;Nacional;Fiesta Nacional de España
28;Madrid;Madrid, Comunidad de;2022-10-12;Nacional;Fiesta Nacional de España
38;Santa Cruz de Tenerife;Canarias;2022-10-12;Nacional;Fiesta Nacional de España
40;Segovia;Castilla Y León;2022-10-12;Nacional;Fiesta Nacional de España
19;Guadalajara;Castilla-La Mancha;2022-10-12;Nacional;Fiesta Nacional de España
18;Granada;Andalucía;2022-10-12;Nacional;Fiesta Nacional de España
21;Huelva;Andalucía;2022-10-12;Nacional;Fiesta Nacional de España
46;Valencia/Valéncia;Comunidad Valenciana;2022-10-12;Nacional;Fiesta Nacional de España
37;Salamanca;Castilla Y León;2022-10-12;Nacional;Fiesta Nacional de España
11;Cádiz;Andalucía;2022-10-12;Nacional;Fiesta Nacional de España
10;Cáceres;Extremadura;2022-10-12;Nacional;Fiesta Nacional de España
41;Sevilla;Andalucía;2022-10-12;Nacional;Fiesta Nacional de España
39;Cantabria;Cantabria;2022-10-12;Nacional;Fiesta Nacional de España
09;Burgos;Castilla Y León;2022-10-12;Nacional;Fiesta Nacional de España
43;Tarragona;Cataluña;2022-10-12;Nacional;Fiesta Nacional de España
16;Cuenca;Castilla-La Mancha;2022-10-12;Nacional;Fiesta Nacional de España
22;Huesca;Aragón;2022-10-12;Nacional;Fiesta Nacional de España
23;Jaén;Andalucía;2022-10-12;Nacional;Fiesta Nacional de España
49;Zamora;Castilla Y León;2022-10-12;Nacional;Fiesta Nacional de España
03;Alicante;Comunidad Valenciana;2022-10-12;Nacional;Fiesta Nacional de España
02;Albacete;Castilla-La Mancha;2022-10-12;Nacional;Fiesta Nacional de España
52;Melilla;Melilla, Ciudad Autónoma de;2022-10-12;Nacional;Fiesta Nacional de España
47;Valladolid;Castilla Y León;2022-10-12;Nacional;Fiesta Nacional de España
34;Palencia;Castilla Y León;2022-10-12;Nacional;Fiesta Nacional de España
51;Ceuta;Ceuta, Ciudad Autónoma de;2022-10-12;Nacional;Fiesta Nacional de España
27;Lugo;Galicia;2022-10-12;Nacional;Fiesta Nacional de España
29;Málaga;Andalucía;2022-10-12;Nacional;Fiesta Nacional de España
46;Valencia/Valéncia;Comunidad Valenciana;2022-11-01;Nacional;Todos los Santos
48;Bizkaia;País Vasco;2022-11-01;Nacional;Todos los Santos
07;Balears, Illes;Balears, Illes;2022-11-01;Nacional;Todos los Santos
50;Zaragoza;Aragón;2022-11-01;Nacional;Todos los Santos
36;Pontevedra;Galicia;2022-11-01;Nacional;Todos los Santos
40;Segovia;Castilla Y León;2022-11-01;Nacional;Todos los Santos
35;Palmas, Las;Canarias;2022-11-01;Nacional;Todos los Santos
27;Lugo;Galicia;2022-11-01;Nacional;Todos los Santos
33;Asturias;Asturias, Principado de;2022-11-01;Nacional;Todos los Santos
30;Murcia;Murcia, Región de;2022-11-01;Nacional;Todos los Santos
04;Almería;Andalucía;2022-11-01;Nacional;Todos los Santos
02;Albacete;Castilla-La Mancha;2022-11-01;Nacional;Todos los Santos
18;Granada;Andalucía;2022-11-01;Nacional;Todos los Santos
26;Rioja, La;Rioja, La;2022-11-01;Nacional;Todos los Santos
21;Huelva;Andalucía;2022-11-01;Nacional;Todos los Santos
15;Coruña, A;Galicia;2022-11-01;Nacional;Todos los Santos
52;Melilla;Melilla, Ciudad Autónoma de;2022-11-01;Nacional;Todos los Santos
44;Teruel;Aragón;2022-11-01;Nacional;Todos los Santos
38;Santa Cruz de Tenerife;Canarias;2022-11-01;Nacional;Todos los Santos
17;Girona;Cataluña;2022-11-01;Nacional;Todos los Santos
45;Toledo;Castilla-La Mancha;2022-11-01;Nacional;Todos los Santos
13;Ciudad Real;Castilla-La Mancha;2022-11-01;Nacional;Todos los Santos
19;Guadalajara;Castilla-La Mancha;2022-11-01;Nacional;Todos los Santos
39;Cantabria;Cantabria;2022-11-01;Nacional;Todos los Santos
28;Madrid;Madrid, Comunidad de;2022-11-01;Nacional;Todos los Santos
47;Valladolid;Castilla Y León;2022-11-01;Nacional;Todos los Santos
24;León;Castilla Y León;2022-11-01;Nacional;Todos los Santos
01;Araba/Álava;País Vasco;2022-11-01;Nacional;Todos los Santos
41;Sevilla;Andalucía;2022-11-01;Nacional;Todos los Santos
43;Tarragona;Cataluña;2022-11-01;Nacional;Todos los Santos
12;Castellón/Castelló;Comunidad Valenciana;2022-11-01;Nacional;Todos los Santos
42;Soria;Castilla Y León;2022-11-01;Nacional;Todos los Santos
05;Ávila;Castilla Y León;2022-11-01;Nacional;Todos los Santos
22;Huesca;Aragón;2022-11-01;Nacional;Todos los Santos
08;Barcelona;Cataluña;2022-11-01;Nacional;Todos los Santos
32;Ourense;Galicia;2022-11-01;Nacional;Todos los Santos
29;Málaga;Andalucía;2022-11-01;Nacional;Todos los Santos
23;Jaén;Andalucía;2022-11-01;Nacional;Todos los Santos
10;Cáceres;Extremadura;2022-11-01;Nacional;Todos los Santos
09;Burgos;Castilla Y León;2022-11-01;Nacional;Todos los Santos
06;Badajoz;Extremadura;2022-11-01;Nacional;Todos los Santos
14;Córdoba;Andalucía;2022-11-01;Nacional;Todos los Santos
34;Palencia;Castilla Y León;2022-11-01;Nacional;Todos los Santos
16;Cuenca;Castilla-La Mancha;2022-11-01;Nacional;Todos los Santos
25;Lleida;Cataluña;2022-11-01;Nacional;Todos los Santos
31;Navarra;Navarra, Comunidad Foral de;2022-11-01;Nacional;Todos los Santos
51;Ceuta;Ceuta, Ciudad Autónoma de;2022-11-01;Nacional;Todos los Santos
03;Alicante;Comunidad Valenciana;2022-11-01;Nacional;Todos los Santos
37;Salamanca;Castilla Y León;2022-11-01;Nacional;Todos los Santos
49;Zamora;Castilla Y León;2022-11-01;Nacional;Todos los Santos
11;Cádiz;Andalucía;2022-11-01;Nacional;Todos los Santos
20;Gipuzkoa;País Vasco;2022-11-01;Nacional;Todos los Santos
27;Lugo;Galicia;2022-12-06;Nacional;Día de la Constitución Española
25;Lleida;Cataluña;2022-12-06;Nacional;Día de la Constitución Española
05;Ávila;Castilla Y León;2022-12-06;Nacional;Día de la Constitución Española
06;Badajoz;Extremadura;2022-12-06;Nacional;Día de la Constitución Española
16;Cuenca;Castilla-La Mancha;2022-12-06;Nacional;Día de la Constitución Española
46;Valencia/Valéncia;Comunidad Valenciana;2022-12-06;Nacional;Día de la Constitución Española
45;Toledo;Castilla-La Mancha;2022-12-06;Nacional;Día de la Constitución Española
49;Zamora;Castilla Y León;2022-12-06;Nacional;Día de la Constitución Española
01;Araba/Álava;País Vasco;2022-12-06;Nacional;Día de la Constitución Española
35;Palmas, Las;Canarias;2022-12-06;Nacional;Día de la Constitución Española
03;Alicante;Comunidad Valenciana;2022-12-06;Nacional;Día de la Constitución Española
50;Zaragoza;Aragón;2022-12-06;Nacional;Día de la Constitución Española
31;Navarra;Navarra, Comunidad Foral de;2022-12-06;Nacional;Día de la Constitución Española
